,acc.date,type,reg,operator,fat,location,dmg
469,2020-02-05,Boeing 737-86J (WL),TC-IZK,Pegasus Airlines,3.0,Istanbul-Sabiha Gökçen International Airport (SAW),w/o
470,2020-02-06,Cessna 208B Grand Caravan,N24MG,Redding Aero Enterprises Inc.,0.0,"NW off Eureka-Murray Field, CA (EKA)",sub
471,2020-02-07,Bombardier CRJ-900LR,N610NN,"PSA Airlines, opf American Eagle",0.0,"Waynesville, North Carolina",sub
472,2020-02-07,Cessna 208B Super Cargomaster,N988FX,"Mountain Air Cargo, opf FedEx",0.0,"Baltimore/Washington International Thurgood Marshall Airport, MD (BWI)",sub
473,2020-02-07,Boeing 757-256 (WL),TF-FIA,Icelandair Flugfélag Islands,0.0,Keflavík International Airport (KEF),unk
474,2020-02-08,Beechcraft 200 Super King Air,CC-COT,Transportes Torreon,0.0,Rio Bueno-Fundo Cuincahuin Airstrip,w/o
475,2020-02-08,Cessna 501 Citation I/SP,N501RG,Remonia Air,4.0,"near Fairmount, GA",w/o
476,2020-02-09,Boeing 737-524 (WL),VQ-BPS,Utair,0.0,Usinsk Airport (USK),sub
477,2020-02-12,Cessna 560 Citation Encore,N654CE,SC Cole Aviation LLC,0.0,"over Benbrook, TX",sub
478,2020-02-14,Cessna 208 Caravan I,P2-MAI,Mission Aviation Fellowship - MAF,0.0,Miyanmin Airstrip (MPX),sub
479,2020-02-15,Boeing 737-8KN (WL),HL8342,Eastar Jet,0.0,120NM south of Incheon International Airport,non
480,2020-02-20,Cessna 510 Citation Mustang,N163TC,Private,0.0,"Daytona Beach International Airport, FL (DAB)",sub
481,2020-02-20,Beechcraft B200 King Air,N860J,"Lauren Engineers & Constructors, Inc.",3.0,"near Lake Coleman, TX",w/o
482,2020-02-20,Antonov An-2T,RA-40642,T-Cement,0.0,Magadan-13 Airport (UHMT),sub
483,2020-02-21,de Havilland Canada DHC-3T Vazar Turbine Otter,C-FIUZ,Harbour Air,0.0,"Vancouver-Coal Harbour SPB, BC (CXH)",sub
484,2020-02-23,Bombardier CL-600-2B16 Challenger 605,C-GKCP,Canadian Pacific Railway Company,0.0,"Calgary International Airport, AB (YYC)",sub
485,2020-02-24,de Havilland Canada DHC-6 Twin Otter 300,8Q-MBC,Trans Maldivian Airways,0.0,"Kuredu Island Resort, Lhaviyani Atoll",sub
486,2020-02-24,Fairchild SA227-DC Metro 23,C-GJVB,"Bearskin Airlines, opb Perimeter Aviation",0.0,"Dryden Regional Airport, ON (YHD)",sub
487,2020-02-25,Boeing 737-301 (BDSF),PK-YSG,Trigana Air Service,0.0,Jayapura-Sentani Airport (DJJ),sub
488,2020-02-25,Learjet 55,N135LR,Expectra Aviation Inc.,0.0,"Belmar/Farmingdale-Monmouth Executive Airport, NJ (BLM)",sub
489,2020-02-26,Antonov An-2P,UP-A0001,Orlan 2000,0.0,"1,5 km NW of Ust-Kamenogorsk Airport (UKK)",w/o
490,2020-02-27,Dassault Falcon 50,N951DJ,private,0.0,"Toronto-Buttonville Airport, ON (YKZ)",w/o
491,2020-02-28,Airbus A300B4-203 (F),UP-A3003,Sigma Airlines,0.0,Sharjah Airport (SHJ),sub
492,2020-02-29,Learjet 35A,N721EC,East Coast Jets,0.0,"Altoona Airport, PA (AOO)",sub
493,2020-03-03,Dassault Falcon 7X,N377EF,private,0.0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
494,2020-03-03,Cessna 560 Citation Encore,N43NC,private,0.0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
495,2020-03-03,Cirrus SF50 Vision Jet,N217CB,BBR Air,0.0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
496,2020-03-03,Learjet 55,N890AC,Jetleg Management,0.0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
497,2020-03-03,Beechcraft 200 Super King Air,N2PY,AT Aero LLC,0.0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
498,2020-03-03,Beechcraft 200 Super King Air,N186EB,Executive Business Aviation Inc,0.0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
499,2020-03-03,Bombardier BD-100-1A10 Challenger 300,N819RS,Legacy Air LLC,0.0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
500,2020-03-03,Cessna 525C Citation CJ4,N989CJ,Textron Inc.,0.0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
501,2020-03-03,Cessna 525 CitationJet CJ1,N177VV,"Crye-Leike South, Inc",0.0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
502,2020-03-03,Beechcraft B300 King Air 350i,N615CL,Carol 1 LLC,0.0,"Nashville-John C. Tune Airport, TN (KJWN)",w/o
503,2020-03-03,Dassault Falcon 2000,N519JD,"Caridad Aviation, LLC",0.0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
504,2020-03-03,Cessna S550 Citation S/II,N45NC,private,0.0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
505,2020-03-05,Cessna 208B Super Cargomaster,N706FX,"FedEx Express, opb CSA Air",0.0,"Rhinelander-Oneida County Airport, WI (RHI)",sub
506,2020-03-06,de Havilland Canada DHC-6 Vista Liner 300,N72GC,Grand Canyon Airlines,0.0,"Boulder City Municipal Airport, NV (BLD)",sub
507,2020-03-08,Boeing 767-3Q8ER,N477AX,Omni Air International,0.0,Shannon Airport (SNN),sub
508,2020-03-09,Airbus A330-343,HS-TEU,Thai Airways International,0.0,Vientiane-Wattay Airport (VTE),sub
509,2020-03-09,Gulfstream G-IVSP,M-YWAY,"Platinum Jet Co., Ltd.",0.0,Vientiane-Wattay Airport (VTE),sub
510,2020-03-12,de Havilland Canada DHC-3T Vazar Turbine Otter,C-GTMW,Martini Aviation Ltd.,0.0,"Fort Langley Airport, BC (CBQ2)",sub
511,2020-03-12,Beechcraft 200 Super King Air,HK-5075,private,2.0,"Claura Arriba, Iriona, Colón",w/o
512,2020-03-13,Cessna 525 CitationJet,YV3452,Servicios 5250084,2.0,Porlamar-del Caribe Santiago Mariño International Airport (PMV),w/o
513,2020-03-14,Raytheon Hawker 800XP,N100AG,Gemini Air Group,0.0,"Phoenix-Scottsdale Municipal Airport, AZ (SCF)",sub
514,2020-03-17,Cessna 208B Super Cargomaster,N274PM,Planemasters,1.0,"NW of La Crosse, Rush County, KS",w/o
515,2020-03-19,Cessna 208 Caravan I,P2-MAF,Mission Aviation Fellowship - MAF,0.0,Yenkisa Airstrip (YEQ),sub
516,2020-03-21,Boeing 757-223 (WL),N193AN,American Airlines,0.0,"Las Vegas-McCarran International Airport, NV (LAS)",sub
517,2020-03-22,Hawker Siddeley HS-125-F400B,(XB-PNK),private,0.0,"near Caballo Blanco, Retalhuleu",sub
518,2020-03-28,Cessna 501 Citation I/SP,N810LG,RBR Development LLC,0.0,"Jonesboro Municipal Airport, AR (JBR)",w/o
519,2020-03-28,Cessna 525A CitationJet CJ2+,N457MD,Hog Air Aviation LLC,0.0,"Jonesboro Municipal Airport, AR (JBR)",w/o
520,2020-03-29,IAI 1124A Westwind II,RP-C5880,Lionair Inc.,8.0,Manila-Ninoy Aquino International Airport (MNL),w/o
522,2020-04-12,Boeing 737-881 (WL),JA64AN,"All Nippon Airways - ANA, opb ANA Wings",0.0,30 km south-southwest of Matsuyama Airport (MYJ/RJOM),non
523,2020-04-16,Cessna 208 Caravan I,C-GBIT,Mike's Oilfield Services Ltd.,0.0,"Maurice Lake, SK",sub
524,2020-04-19,British Aerospace BAe-125-700A,N700NW,private,2.0,"near Las Cruces, Petén",w/o
525,2020-04-20,British Aerospace BAe-125-800A,N375TC,private,0.0,Laguna del Tigre National Park,w/o
526,2020-04-23,Lockheed C-130J-30 Super Hercules,11-5736,United States Air Force - USAF,0.0,Ramstein AFB (RMS),sub
527,2020-04-24,IAI 1125 Astra SP,YV3427,Inversiones SC 2012,0.0,"Fort Lauderdale-Executive Airport, FL (FXE)",sub
528,2020-04-28,Beechcraft A100 King Air,C-FCBZ,Buffalo Airways,0.0,"Kugaaruk Airport, NU (YBB)",sub
529,2020-05-02,Beechcraft B200 Super King Air,C-GSAE,Province of Saskatchewan Ministry of Central Services,0.0,"SE of Lloydminster Airport, AB (YLL)",sub
530,2020-05-04,Learjet 25D,LV-WOC,Dos Mil Aerosistema,0.0,"San Fernando Airport, BA (FDO)",sub
531,2020-05-04,Embraer EMB-120RT Brasilia,5Y-AXO,African Express Airways,6.0,near Bardale Airstrip,w/o
